Matched_RM,TOPSIS_Score,Rank,Weighted_Avg_Yield,Precipitation
EMERSON-FRANKLIN,0.9034528262849367,1.0,105.5,64.0
BROKENHEAD,0.8152094414790463,2.0,116.0,54.293103448275865
SPRINGFIELD,0.7891906700729816,3.0,119.0,52.03260869565217
THOMPSON,0.7844539918222012,4.0,82.1,67.0
TACHE,0.7301169883063954,5.0,83.6,56.95
BIFROST-RIVERTON,0.6662188151790502,6.0,65.36302432146634,60.32575757575758
ST. ANDREWS,0.6569487194739707,7.0,96.6,45.59016393442623
STE. ROSE,0.6311972833668366,8.0,88.8,45.79166666666666
FISHER,0.615096109315516,9.0,72.96572934973636,50.459016393442624
ROSSBURN,0.5891237704556761,10.0,95.27489475698432,39.921875
WOODLANDS,0.5852670894936255,11.0,87.81751592356687,42.02941176470589
MACDONALD,0.5824047271613805,12.0,96.75857359635812,38.81609195402299
ROCKWOOD,0.5766619337717027,13.0,84.41530225662989,42.44897959183673
WHITEHEAD,0.574524705462018,14.0,97.9863687150838,37.66
ROSSER,0.5545168898583245,15.0,89.3,38.625
OAKLAND-WAWANESA,0.5468666888683569,16.0,99.86635694928376,34.175
RIDING MOUNTAIN WEST,0.5387629795290982,17.0,84.97452443118239,38.68707482993197
GILBERT PLAINS,0.5296292888327525,18.0,79.1,40.08080808080808
HAMIOTA,0.5260675471595045,19.0,93.98974912328028,34.0
MCCREARY,0.5233902928641766,20.0,78.3,39.80434782608695
SOURIS-GLENWOOD,0.516727987410761,21.0,79.45723815877251,38.7
MINTO-ODANAH,0.5155738063624841,22.0,112.4911576249466,25.758064516129032
ROSEDALE,0.5041440332443309,23.0,100.79999999999998,28.727272727272727
PRAIRIE LAKES,0.4969262371377774,24.0,92.07291640398437,31.43820224719101
YELLOWHEAD,0.4895381310208426,25.0,101.9740916271722,26.202380952380956
DAUPHIN,0.48375171732673583,26.0,67.9,40.32231404958678
GRANDVIEW,0.48216819041342274,27.0,65.0,41.39393939393939
OAKVIEW,0.4793754052884171,28.0,87.88206932052162,31.163265306122447
RIVERDALE,0.4712548327521196,29.0,80.7,33.47727272727273
HARRISON PARK,0.4618734646726777,30.0,86.17407706817569,29.79787234042553
NORTH CYPRESS-LANGFORD,0.4586298793777059,31.0,90.6,27.161073825503355
LAKESHORE,0.45532354405412984,32.0,60.2,40.9009009009009
MINITONAS-BOWSMAN,0.4534696600206769,33.0,86.8,28.385416666666668
ARGYLE,0.44804536061673345,34.0,87.27960222016651,27.387096774193548
GRASSLAND,0.44670418537713275,35.0,76.98424940256355,32.45
SWAN VALLEY WEST,0.4432650372050912,36.0,80.2680612244898,30.4014598540146
PORTAGE LA PRAIRIE,0.44168929672600515,37.0,88.21939296266451,25.948275862068964
ALONSA,0.4395813497396007,38.0,54.4,41.84897959183674
BOISSEVAIN-MORTON,0.4379957836505261,39.0,82.36380236305048,28.625
SIFTON,0.4355558806418859,40.0,69.8,34.68333333333333
CLANWILLIAM-ERICKSON,0.4302497293952666,41.0,86.0,25.464285714285715
PRAIRIE VIEW,0.42877978936652744,42.0,80.6,28.34057971014493
WALLACE-WOODWORTH,0.4238785141383086,43.0,79.20556517973148,28.452380952380956
GLENELLA-LANSDOWNE,0.4224850896323611,44.0,86.7895989861501,23.712871287128717
MOSSEY RIVER,0.4168456307158184,45.0,66.8,34.13186813186813
CARTWRIGHT-ROBLIN,0.4131989936729382,46.0,78.63262382316823,27.29090909090909
LORNE,0.39761082988478874,47.0,67.48018416858508,31.623529411764707
VICTORIA,0.3913542083855545,48.0,64.1,32.7
LOUISE,0.3897773745864251,49.0,82.41642975206611,20.608695652173918
MORRIS,0.38390792844041116,50.0,38.0,43.01123595505618
PEMBINA,0.38199735456289213,51.0,76.3510761789601,23.835443037974684
GREY,0.379034270774827,52.0,61.60000000000001,32.63235294117647
NORTH NORFOLK,0.3748182630475329,53.0,77.40209689081706,21.617021276595743
WESTLAKE-GLADSTONE,0.3616428435571111,54.0,73.78668257756564,21.99333333333333
PIPESTONE,0.35348107545275237,55.0,67.02142030996993,25.964285714285715
BRENDA-WASKADA,0.32155976747494824,56.0,57.92065643952908,27.714285714285715
TWO BORDERS,0.31276111995196226,57.0,58.2356529209622,26.167630057803468
GRAHAMDALE,0.3095267437032468,58.0,7.399999999999999,43.850515463917525
ELLICE-ARCHIE,0.23020196483768057,59.0,38.0,28.927710843373493
